1 уровень,2 уровень,П. №1,Значение,Тип,П. №2,Значение,Тип,П. №3,Значение,Тип,П. №4,Значение,Тип,П. №5,Значение,Тип,П. №6,Значение,Тип,П. №7,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Тип
Артисты,Огненое/световое шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Юмористическое шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Спортивное/экстремальное шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Песочное шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Шоу мыльных пузырей,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Цирковое шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Травести-шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Оригинальный жанр,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Детская программа,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Этническое шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Бармен-шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Артисты цирка,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Акробатическое шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Силовое шоу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Иллюзионисты,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Клоуны,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Мимы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Жонглеры,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Ростовые куклы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Животные,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Атмосферные артисты,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Шаржисты/художники,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Живые статуи,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Ростовые куклы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Предсказания,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Казино,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Двойники,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Аквагрим/бодиарт,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Музыкальная программа,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Кавер-группа,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Народные/этнические музыканты,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Певцы/певицы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Инструментальная музыка,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Оперные исполнители,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Шоу барабанов,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Танцевальная программа,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Танцевальные коллективы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Народные/этнические коллективы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Классический танец,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Дуэт,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Стриптиз,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Артисты,Сольный танец,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,Чек
Ведущие,Ведущие праздников,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Ведущие на свадьбу,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Ведущие на корпоратив,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Актеры театра и кино,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Свадебные регистраторы,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Ведущие радио,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Свадебные распорядители,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Модераторы/ Деловые ведущие,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Камеди клаб,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Ведущие,Ведущие аукционов,Стоимость,от 0 до 200000000 р,Ползунок,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Указан гонорар,Да или нет,Чек,Есть записи в портфолио,Да или нет,,,,,,,,
Орг мероприятий,Event агенства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Свадебные агенства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Тимбилдинг агенства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Букинговые агенства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Концертные агенства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Событийный туризм,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Агентства деловых мероприятий,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Рекламные и PR агентства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Выставочные агентства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Модельные агентства,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Орг мероприятий,Event продюсеры,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,
Тех. обеспечение,Охрана,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,пиротехника,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,медики,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,Вывоз мусора,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,световое оборудование,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,звуковое оборудование,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,сценическое оборудование,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Тех. обеспечение,"экраны, проекторы",Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Декор,Театральные декорации,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Декор,Витринистика,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Декор,Декор фестивалей и форумов,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
Декор,Свадебный декор,Расположение,Список всех городов,Список,Есть фото,Да или нет,Чек,Есть Видео,Да или нет,Чек,Есть Отзывы,Да или нет,Чек,,,,,,,,,,,,,,,,
IT,Разработка сайтов,Стоимость,от 0 до 200000000 р,Ползунок,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
Design,Брендинг,Стоимость,от 0 до 200000000 р,Ползунок,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
Design,Полиграфия,Расположение,Список всех городов,Список,Есть Отзывы,Да или нет,Чек,Есть Портфолио,Да или нет,Чек,,,,,,,,,,,,,,,,,,,
